주방용품·설비add_paper/// Length:(2119, 238)/// Accuracy: 0.6492220651058024
주방용품·설비nego_able/// Length:(2119, 238)/// Accuracy: 0.7991513437057991
세탁서비스add_paper/// Length:(1171, 249)/// Accuracy: 0.8286445014312139
세탁서비스nego_able/// Length:(1171, 249)/// Accuracy: 0.7800511510475822
보건·위생용품add_paper/// Length:(2397, 410)/// Accuracy: 0.6232790993211863
보건·위생용품nego_able/// Length:(2397, 410)/// Accuracy: 0.7784730915880024
토지·건물·설비add_paper/// Length:(2643, 440)/// Accuracy: 0.6485260775029794
토지·건물·설비nego_able/// Length:(2643, 440)/// Accuracy: 0.7800453518793967
의류·섬유신변용품add_paper/// Length:(13923, 510)/// Accuracy: 0.7472527472527473
의류·섬유신변용품nego_able/// Length:(13923, 510)/// Accuracy: 0.8468002585649644
법률·행정서비스add_paper/// Length:(123, 145)/// Accuracy: 0.4878048838638678
법률·행정서비스nego_able/// Length:(123, 145)/// Accuracy: 0.8536585394929095
보험add_paper/// Length:(2736, 352)/// Accuracy: 0.6293859649122807
보험nego_able/// Length:(2736, 352)/// Accuracy: 0.7478070175438597
운수·보관·관리서비스add_paper/// Length:(5198, 331)/// Accuracy: 0.6826312752796334
운수·보관·관리서비스nego_able/// Length:(5198, 331)/// Accuracy: 0.8066935949564943
보건·위생서비스add_paper/// Length:(1042, 228)/// Accuracy: 0.7126436795311413
보건·위생서비스nego_able/// Length:(1042, 228)/// Accuracy: 0.7873563197837479
교육서비스add_paper/// Length:(2262, 295)/// Accuracy: 0.7957559676954538
교육서비스nego_able/// Length:(2262, 295)/// Accuracy: 0.7254641914557399
식료품·기호품add_paper/// Length:(2994, 382)/// Accuracy: 0.61823647306534
식료품·기호품nego_able/// Length:(2994, 382)/// Accuracy: 0.7695390781563126
가사용품add_paper/// Length:(4191, 351)/// Accuracy: 0.5851216025447982
가사용품nego_able/// Length:(4191, 351)/// Accuracy: 0.7947067240618159
차량·승용물add_paper/// Length:(8562, 637)/// Accuracy: 0.6339754816738402
차량·승용물nego_able/// Length:(8562, 637)/// Accuracy: 0.5642732049663096
도서·음반add_paper/// Length:(1473, 286)/// Accuracy: 0.6802443996709137
도서·음반nego_able/// Length:(1473, 286)/// Accuracy: 0.8085539712439729
